	A194	A195	A196	A197	A198	A199	A200	A201	A202	A203	A205	A206	A221	A210	A213	A217	A211	A218	A214	A208	A215	A220	A212	A216
OTU1	0	0	0.001	0	0	0.003	0	0	0	0	0	0	0.001	0.001	0	0	0	0	0.001	0	0	0.001	0.001	0
OTU2	0	0	0	0	0	0.006	0.001	0	0	0	0	0.003	0.001	0	0	0	0.003	0.002	0.001	0.003	0	0	0	0.008
OTU3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.001
OTU4	0	0.002	0.002	0.002	0	0.001	0.004	0.005	0.002	0.005	0.001	0.01	0.005	0	0.008	0	0	0.004	0.008	0.005	0.003	0.001	0.005	0.002
OTU5	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0	0.001	0	0
OTU6	0.004	0.002	0.012	0.002	0.011	0.011	0.021	0.037	0.016	0.021	0.006	0.013	0.007	0.001	0	0.008	0.009	0.024	0.004	0.031	0.007	0.021	0.005	0.027
OTU7	0	0	0.001	0.001	0	0.001	0	0	0.001	0.004	0.002	0	0	0	0	0.002	0	0.001	0.001	0.001	0.002	0.005	0	0
OTU8	0	0.001	0	0	0	0.001	0	0.002	0.002	0.006	0.001	0.008	0.004	0	0	0.001	0.009	0.002	0.006	0.002	0.001	0.011	0.002	0.001
OTU9	0.456	0.019	1.437	0.054	0.326	0.189	1.303	0.197	0.122	0.338	0.054	0.785	0.546	0.056	1.313	0.18	0.344	0.269	0.523	0.209	0.113	0.362	0.075	0.553
OTU10	0	0.001	0.001	0	0.011	0.001	0.002	0.002	0.003	0.001	0	0.008	0	0.001	0	0	0.002	0.001	0	0.003	0.001	0.003	0.001	0.005
OTU11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0	0
OTU12	0	0.002	0	0.001	0	0.005	0.001	0.002	0.001	0.004	0.001	0.013	0.001	0	0.004	0.002	0.005	0.002	0.005	0.002	0	0.001	0.001	0.003
OTU13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
OTU14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
OTU15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
OTU16	0	0	0	0	0	0	0.001	0.001	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0.001	0.001
OTU17	0	0	0.005	0	0	0.002	0.003	0.002	0	0.001	0.002	0.004	0.005	0.003	0	0.001	0.002	0.003	0.001	0.001	0	0.001	0	0.006
OTU18	0	0.002	0.002	0	0.011	0.005	0.004	0.003	0.001	0.001	0.001	0.01	0	0.001	0	0.001	0.006	0.004	0.001	0.004	0	0	0	0.003
OTU19	0.066	0.001	0.001	0.001	0.021	0.001	0.001	0.001	0	0.001	0	0.001	0.073	0.001	0	0	0	0	0	0	0	0.003	0.001	0.001
OTU20	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0
OTU21	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU22	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0
OTU24	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0
OTU26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
OTU27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0
OTU28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
OTU29	0	0	0	0	0	0	0	0	0	0.001	0	0	0.001	0	0	0.001	0	0.001	0.001	0	0.001	0	0	0
OTU30	0	0	0.001	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0
OTU31	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0
OTU32	0	0.001	0	0	0	0	0	0.004	0	0	0.001	0	0	0	0	0.002	0	0.001	0.001	0	0	0	0.001	0
OTU33	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU34	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU35	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.003	0	0	0
OTU36	0.019	0.003	0	0	0	0	0.002	0.003	0	0.007	0	0	0.001	0.003	0.004	0	0	0	0	0.001	0	0.001	0	0
OTU37	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU38	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0
