	Genus
OTU1	Abiotrophia
OTU2	Absiella
OTU3	Abyssicoccus
OTU4	Abyssivirga
OTU5	Acaryochloris
OTU6	Acetanaerobacterium
OTU7	Acetatifactor
OTU8	Acetitomaculum
OTU9	Acetivibrio
OTU10	Acetoanaerobium
OTU11	Acetobacter
OTU12	Acetobacterium
OTU13	Acetobacteroides
OTU14	Acetohalobium
OTU15	Acetomicrobium
OTU16	Acetonema
OTU17	Acholeplasma
OTU18	Acidaminobacter
OTU19	Acidaminococcus
OTU20	Acidibacter
OTU21	Acidicaldus
OTU22	Acidicapsa
OTU23	Acidiferrobacter
OTU24	Acidimicrobium
OTU25	Acidiphilium
OTU26	Acidipropionibacterium
OTU27	Acidisphaera
OTU28	Aciditerrimonas
OTU29	Acidithiobacillus
OTU30	Acidomonas
OTU31	Acidovorax
OTU32	Acinetobacter
OTU33	Actibacter
OTU34	Actibacterium
OTU35	Actimicrobium
OTU36	Actinobacillus
OTU37	Actinobaculum
OTU38	Actinocatenispora
OTU39	Actinocorallia
OTU40	Actinokineospora
OTU41	Actinomadura
OTU42	Actinomyces
OTU43	Actinoplanes
OTU44	Actinopolymorpha
OTU45	Actinopolyspora
OTU46	Actinospica
OTU47	Actinosynnema
OTU48	Actinotalea
OTU49	Actinotignum
OTU50	Acutalibacter
OTU51	Acuticoccus
OTU52	Adhaeribacter
OTU53	Adlercreutzia
OTU54	Aequorivita
OTU55	Aeribacillus
OTU56	Aerococcus
OTU57	Aeromicrobium
OTU58	Aeromonas
OTU59	Aerosakkonema
OTU60	Aestuariicella
OTU61	Aestuariicoccus
OTU62	Aestuariispira
OTU63	Afifella
OTU64	Afipia
OTU65	Agaribacter
OTU66	Agaribacterium
OTU67	Agathobacter
OTU68	Agathobaculum
OTU69	Aggregatibacter
OTU70	Aggregicoccus
OTU71	Agitococcus
OTU72	Agrilactobacillus
OTU73	Agrobacterium
OTU74	Agrococcus
OTU75	Agromyces
OTU76	Akkermansia
OTU77	Albibacter
OTU78	Albimonas
OTU79	Alcaligenes
OTU80	Alcanivorax
OTU81	Algimonas
OTU82	Algivirga
OTU83	Algorimarina
OTU84	Algoriphagus
OTU85	Aliagarivorans
OTU86	Aliarcobacter
OTU87	Alicyclobacillus
OTU88	Aliicoccus
OTU89	Aliidiomarina
OTU90	Aliidongia
OTU91	Aliifodinibius
OTU92	Aliikangiella
OTU93	Aliinostoc
OTU94	Aliiroseovarius
OTU95	Aliivibrio
OTU96	Alishewanella
OTU97	Alistipes
OTU98	Aliterella
OTU99	Alkalibacillus
OTU100	Alkalibacter
OTU101	Alkalibacterium
OTU102	Alkalibaculum
OTU103	Alkalicoccus
OTU104	Alkaliflexus
OTU105	Alkalihalobacillus
OTU106	Alkalilactibacillus
OTU107	Alkalilimnicola
OTU108	Alkalimarinus
OTU109	Alkalimonas
OTU110	Alkaliphilus
OTU111	Alkalispirillum
OTU112	Alkalispirochaeta
OTU113	Alkalitalea
OTU114	Allgaiera
OTU115	Allisonella
OTU116	Allobacillus
OTU117	Allobaculum
OTU118	Allochromatium
OTU119	Allofrancisella
OTU120	Allofustis
OTU121	Allohahella
OTU122	Alloiococcus
OTU123	Alloprevotella
OTU124	Altererythrobacter
OTU125	Alteribacillus
OTU126	Alteribacter
OTU127	Alterileibacterium
OTU128	Alteromonas
OTU129	Alysiella
OTU130	Amaricoccus
OTU131	Amedibacillus
OTU132	Aminicella
OTU133	Aminiphilus
OTU134	Aminipila
OTU135	Aminivibrio
OTU136	Aminobacterium
OTU137	Aminomonas
OTU138	Ammoniphilus
OTU139	Amnibacterium
OTU140	Amphibacillus
OTU141	Amphiplicatus
OTU142	Amphritea
OTU143	Amycolatopsis
OTU144	Amylolactobacillus
OTU145	Anabaena
OTU146	Anaeroarcus
OTU147	Anaerobacillus
OTU148	Anaerobacterium
OTU149	Anaerobiospirillum
OTU150	Anaerobium
OTU151	Anaerobranca
OTU152	Anaerobutyricum
OTU153	Anaerococcus
OTU154	Anaerocolumna
OTU155	Anaerofilum
OTU156	Anaerofustis
OTU157	Anaeroglobus
OTU158	Anaerolinea
OTU159	Anaeromassilibacillus
OTU160	Anaeromicrobium
OTU161	Anaeromusa
OTU162	Anaerophaga
OTU163	Anaeroplasma
OTU164	Anaerorhabdus
OTU165	Anaerosalibacter
OTU166	Anaerosinus
OTU167	Anaerosphaera
OTU168	Anaerospora
OTU169	Anaerosporobacter
OTU170	Anaerosporomusa
OTU171	Anaerostipes
OTU172	Anaerotaenia
OTU173	Anaerotignum
OTU174	Anaerotruncus
OTU175	Anaerovibrio
OTU176	Anaerovirgula
OTU177	Anaerovorax
OTU178	Anaplasma
OTU179	Ancylobacter
OTU180	Andreesenia
OTU181	Aneurinibacillus
OTU182	Angustibacter
OTU183	Anoxybacillus
OTU184	Anoxynatronum
OTU185	Antricoccus
OTU186	Apibacter
OTU187	Apilactobacillus
OTU188	Aquamicrobium
OTU189	Aquibacillus
OTU190	Aquidulcibacter
OTU191	Aquiflexum
OTU192	Aquihabitans
OTU193	Aquisalibacillus
OTU194	Aquisalinus
OTU195	Arachidicoccus
OTU196	Arachnia
OTU197	Arboricoccus
OTU198	Arcanobacterium
OTU199	Archangium
OTU200	Arcicella
OTU201	Arcobacter
OTU202	Ardenticatena
OTU203	Arenimicrobium
OTU204	Arenimonas
OTU205	Aridibacter
OTU206	Arsenicibacter
OTU207	Arsenicicoccus
OTU208	Arthrobacter
OTU209	Arthrospira
OTU210	Arvibacter
OTU211	Asaccharobacter
OTU212	Asaccharospora
OTU213	Ascidiimonas
OTU214	Asteroleplasma
OTU215	Asticcacaulis
OTU216	Athalassotoga
OTU217	Atlantibacter
OTU218	Atopobacter
OTU219	Atopobium
OTU220	Atopococcus
OTU221	Atopostipes
OTU222	Aurantiacicella
OTU223	Aurantimonas
OTU224	Auraticoccus
OTU225	Aureibacillus
OTU226	Aureimonas
OTU227	Azoarcus
OTU228	Azohydromonas
OTU229	Azonexus
OTU230	Azorhizobium
OTU231	Azospirillum
OTU232	Azovibrio
OTU233	Bacillus
OTU234	Bacterioplanes
OTU235	Bacterioplanoides
OTU236	Bacteroides
OTU237	Bactoderma
OTU238	Baia
OTU239	Balneicella
OTU240	Balneola
OTU241	Bariatricus
OTU242	Barnesiella
OTU243	Barrientosiimonas
OTU244	Bartonella
OTU245	Bauldia
OTU246	Bavariicoccus
OTU247	Bdellovibrio
OTU248	Beduini
OTU249	Beijerinckia
OTU250	Belliella
OTU251	Bergeyella
OTU252	Bernardetia
OTU253	Bibersteinia
OTU254	Bifidobacterium
OTU255	Biostraticola
OTU256	Blastocatella
OTU257	Blastochloris
OTU258	Blastococcus
OTU259	Blastopirellula
OTU260	Blautia
OTU261	Bombilactobacillus
OTU262	Borrelia
OTU263	Borreliella
OTU264	Bosea
OTU265	Boudabousia
OTU266	Bounagaea
OTU267	Bowmanella
OTU268	Brachybacterium
OTU269	Brachymonas
OTU270	Brachyspira
OTU271	Brackiella
OTU272	Bradyrhizobium
OTU273	Branchiibius
OTU274	Brasilonema
OTU275	Brassicibacter
OTU276	Brenneria
OTU277	Brevibacillus
OTU278	Brevibacterium
OTU279	Brevifollis
OTU280	Brevitalea
OTU281	Brevundimonas
OTU282	Breznakia
OTU283	Brochothrix
OTU284	Brooklawnia
OTU285	Brucella
OTU286	Brumimicrobium
OTU287	Bryobacter
OTU288	Buchananella
OTU289	Budvicia
OTU290	Bulleidia
OTU291	Burkholderia
OTU292	Buttiauxella
OTU293	Butyricicoccus
OTU294	Butyricimonas
OTU295	Butyrivibrio
OTU296	Bythopirellula
OTU297	Caballeronia
OTU298	Caecibacter
OTU299	Caecibacterium
OTU300	Caedibacter
OTU301	Caenibacillus
OTU302	Caenispirillum
OTU303	Caldalkalibacillus
OTU304	Caldanaerobacter
OTU305	Caldanaerobius
OTU306	Calderihabitans
OTU307	Caldibacillus
OTU308	Caldicellulosiruptor
OTU309	Caldicoprobacter
OTU310	Caldilinea
OTU311	Caldimicrobium
OTU312	Caldimonas
OTU313	Caldinitratiruptor
OTU314	Caldisalinibacter
OTU315	Caldisericum
OTU316	Calditerricola
OTU317	Calditerrivibrio
OTU318	Caldithrix
OTU319	Caldovatus
OTU320	Calidifontibacter
OTU321	Calidithermus
OTU322	Calochaete
OTU323	Caloramator
OTU324	Caloranaerobacter
OTU325	Caloribacterium
OTU326	Calorithrix
OTU327	Camelimonas
OTU328	Caminibacter
OTU329	Caminicella
OTU330	Campylobacter
OTU331	Capnocytophaga
OTU332	Caproiciproducens
OTU333	Carboxydocella
OTU334	Carboxydothermus
OTU335	Carboxylicivirga
OTU336	Cardiobacterium
OTU337	Carnobacterium
OTU338	Caryophanon
OTU339	Casaltella
OTU340	Catellicoccus
OTU341	Catenibacterium
OTU342	Catenisphaera
OTU343	Catenococcus
OTU344	Catenovulum
OTU345	Catenulispora
OTU346	Catenuloplanes
OTU347	Catonella
OTU348	Caulobacter
OTU349	Cedecea
OTU350	Celeribacter
OTU351	Cellulomonas
OTU352	Cellulophaga
OTU353	Cellulosilyticum
OTU354	Cellulosimicrobium
OTU355	Cellvibrio
OTU356	Centipeda
OTU357	Cerasibacillus
OTU358	Cetobacterium
OTU359	Chania
OTU360	Chelativorans
OTU361	Chenggangzhangella
OTU362	Chengkuizengella
OTU363	Chiayiivirga
OTU364	Chitinimonas
OTU365	Chitiniphilus
OTU366	Chitinispirillum
OTU367	Chitinivibrio
OTU368	Chitinolyticbacter
OTU369	Chitinophaga
OTU370	Chlamydia
OTU371	Chloracidobacterium
OTU372	Chlorobaculum
OTU373	Chlorobium
OTU374	Chloroflexus
OTU375	Chondromyces
OTU376	Christensenella
OTU377	Chromohalobacter
OTU378	Chryseobacterium
OTU379	Chryseoglobus
OTU380	Chryseolinea
