	A194	A195	A196	A197	A198	A199	A200	A201	A202	A203	A205	A206	A221	A210	A213	A217	A211	A218	A214	A208	A215	A220	A212	A216
OTU1	0.008	0.002	0.007	0	0	0.001	0.006	0.003	0	0.002	0.001	0.012	0.001	0.003	0	0.002	0.002	0.004	0.003	0.001	0.001	0.003	0.002	0.004
OTU2	0.145	0.127	0.145	0.143	0.189	0.11	0.207	0.195	0.082	0.124	0.183	0.297	0.099	0.11	0.146	0.076	0.206	0.143	0.166	0.143	0.121	0.154	0.353	0.194
OTU3	0	0	0.001	0.001	0	0	0	0	0	0.001	0	0.003	0.001	0.001	0.004	0.001	0	0.003	0.002	0	0	0.004	0.002	0
OTU4	0	0.001	0.002	0.001	0	0	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0	0
OTU5	1.571	2.319	2.19	1.976	4.562	1.214	4.719	2.57	2.025	3.477	0.79	0.796	1.266	0.885	0.419	2.343	1.585	1.941	0.668	0.572	2.346	3.229	1.064	1.615
OTU6	0	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.001	0.001	0	0.001
OTU7	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0
OTU8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0
OTU9	0	0.001	0.005	0	0	0	0.006	0	0	0	0	0	0	0.001	0	0	0	0	0.003	0	0	0	0	0
OTU10	0	0	0	0	0	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0.001	0	0	0.001	0	0	0	0	0.003
OTU11	0	0.001	0.001	0	0	0.002	0.006	0.002	0	0.001	0	0.001	0	0	0	0.001	0.002	0.001	0.001	0.001	0.001	0	0	0.001
OTU12	0.004	0.003	0.006	0.001	0.011	0.003	0.006	0.008	0.004	0	0.003	0.001	0.002	0.006	0	0.005	0.005	0.002	0.004	0.006	0.002	0.001	0	0.009
OTU13	0	0	0	0	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU14	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0
OTU15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0
OTU16	0	0.004	0.014	0.001	0.011	0.005	0.011	0.005	0.002	0.006	0.004	0.005	0.004	0.007	0	0.006	0.002	0.005	0.006	0.004	0.004	0.005	0.001	0.005
OTU17	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0.001	0.001	0.004	0.002	0	0.002	0	0.001	0.001	0	0	0.001
OTU18	0	0	0.002	0.002	0	0.004	0.002	0.01	0	0.001	0.001	0.005	0.001	0	0	0.001	0.002	0.003	0.001	0.004	0.001	0	0.001	0.007
OTU19	0	0	0	0	0.105	0	0.002	0	0	0	0	0	0	0	0	0.001	0.003	0	0	0	0	0	0	0
OTU20	0	0	0.001	0.002	0	0.002	0.005	0.011	0.001	0	0	0.005	0.001	0.004	0	0.004	0.003	0.006	0.004	0.005	0.002	0.003	0	0.008
OTU21	94.289	71.997	96.95	57.174	93.315	91.328	84.576	85.344	90.434	93.062	94.077	95.266	98.017	90.657	98.889	96.736	98.028	94.447	98.527	98.293	93.316	95.986	98.241	97.15
OTU22	0	0.002	0.003	0.002	0.021	0.011	0.007	0.006	0	0.005	0.002	0.014	0.001	0.001	0	0.001	0.011	0.008	0	0.003	0.001	0.003	0.004	0.007
OTU23	0	0	0.002	0	0	0	0.003	0	0	0	0	0.001	0.002	0	0	0.001	0.002	0	0.001	0	0.001	0	0	0.001
OTU24	0	0	0.001	0	0	0.001	0.002	0	0.001	0	0	0.001	0	0.001	0	0	0	0.001	0	0.001	0	0.001	0.001	0
OTU25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
OTU26	0	0.004	0.003	0	0.095	0	0.002	0.008	0	0.006	0	0	0.001	0.001	0	0.001	0	0.002	0.001	0	0	0.012	0	0.006
OTU27	0	0	0.001	0.001	0	0	0.002	0.002	0.002	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0	0	0.001	0	0.001
OTU28	0	0	0	0	0	0	0.001	0	0	0.001	0	0	0.001	0.001	0	0	0	0.001	0	0	0	0.001	0.001	0.001
OTU29	3.961	25.527	0.634	40.698	1.65	7.247	10.356	11.779	7.433	3.29	4.92	3.428	0.573	8.3	0.518	0.803	0.125	3.223	0.597	0.937	4.189	0.57	0.318	0.739
OTU30	0	0	0.001	0	0	0	0.002	0	0	0	0	0	0.001	0	0.004	0	0.002	0	0.001	0.002	0	0	0	0.002
OTU31	0.008	0.005	0.002	0	0	0.004	0.013	0.01	0.003	0.006	0.002	0.008	0.009	0.003	0.008	0.002	0.003	0.004	0.002	0.004	0.002	0.003	0.001	0.009
OTU32	0.008	0.001	0.004	0	0.042	0.037	0.02	0.022	0.002	0.006	0	0.127	0.003	0.003	0	0	0.006	0.046	0.004	0.007	0.004	0.008	0.003	0.024
OTU33	0.008	0.003	0.016	0	0	0.01	0.022	0.019	0.007	0.006	0.013	0.019	0.013	0.011	0.004	0.009	0.012	0.009	0.009	0.014	0.005	0.012	0.003	0.035
OTU34	0	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.001
OTU35	0	0.002	0.001	0	0	0.001	0.003	0.001	0.002	0	0	0.004	0.001	0	0.004	0.001	0.003	0.002	0.001	0	0	0	0	0
